subject,task,run,n_events,trial_types,n_positive_music,n_negative_music,n_positive_nonmusic,n_negative_nonmusic,n_tones
sub-control01,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control01,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control01,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control01,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control01,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control02,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control02,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control02,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control02,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control02,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control03,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control03,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control03,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control03,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control03,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control04,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control04,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control04,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control04,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control04,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control05,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control05,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control05,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control05,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control05,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control06,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control06,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control06,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control06,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control06,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control07,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control07,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control07,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control07,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control07,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control08,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control08,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control08,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control08,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control08,nonmusic,5,13,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,1,4
sub-control09,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control09,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control09,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control09,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control09,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control10,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control10,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control10,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control10,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control10,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control11,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control11,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control11,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control11,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control11,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control12,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control12,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control12,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control12,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control12,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control13,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control13,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control13,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control13,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control13,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control14,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control14,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control14,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control14,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control14,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control15,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control15,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control15,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control15,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control15,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control16,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control16,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control16,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control16,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control16,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control17,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control17,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control17,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control17,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control17,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control18,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control18,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control18,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control18,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control18,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control19,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control19,music,4,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control19,music,5,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control19,nonmusic,1,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control19,nonmusic,2,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control20,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control20,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control20,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-control20,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-control20,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-mdd01,music,1,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-mdd01,music,2,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-mdd01,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
sub-mdd01,nonmusic,4,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-mdd01,nonmusic,5,18,"negative_nonmusic,positive_nonmusic,response,tones",0,0,2,2,5
sub-mdd02,music,3,18,"negative_music,positive_music,response,tones",2,2,0,0,5
